Minute,Kill Count,Weapon,Who,Where,Injury_Sustained,Bullets_Fired,Headshots,Sum_Target_Hit,Count_Target_Missed
40,1,Handgun,Myrmidons,Osaka Continental,,2.0,1.0,,
40,1,Handgun,Myrmidons,Osaka Continental,,3.0,1.0,,
40,1,Handgun,Myrmidons,Osaka Continental,,4.0,1.0,,
40,1,Handgun,Myrmidons,Osaka Continental,,3.0,1.0,,
41,1,Rifle,High Table Soldier,Osaka Continental,,20.0,,,
42,1,Nunchaku,High Table Soldier,Osaka Continental,,,,,
42,1,Knife,High Table Soldier,Osaka Continental,,,,,
42,1,Handgun,Myrmidons,Osaka Continental,,3.0,1.0,,
43,1,Nunchaku,Myrmidons,Osaka Continental,,,,,
44,0,,,,,7.0,,,
45,0,,,,,,,,
46,0,,,,,16.0,,,
47,0,,,,,,,,
48,1,Handgun,Myrmidons,Osaka Continental,,6.0,1.0,,
49,0,,,,,,,,
50,0,,,,,,,,
51,0,,,,,,,,
52,0,,,,,,,,
53,0,,,,,,,,
54,0,,,,,,,,
55,0,,,,,,,,
56,0,,,,,,,,
57,0,,,,,,,,
58,0,,,,,,,,
59,0,,,,,,,,
60,0,,,,,,,,
61,0,,,,,,,,
62,0,,,,,,,,
63,0,,,,,,,,
64,0,,,,,,,,
65,0,,,,,,,,
66,0,,,,,,,,
67,0,,,,,,,,
68,0,,,,Shot At,,,,
69,0,,,,,,,,
70,0,,,,,,,,
71,0,,,,Hanged by Neck,,,,
72,0,,,,,,,,
73,0,,,,Smacked on Head,,,,
74,0,,,,,,,,
75,0,,,,,,,,
76,0,,,,,,,,
77,0,,,,,,,,
78,0,,,,,,,,
79,0,,,,,,,,
80,0,,,,,,,,
81,1,Handgun,Killa's Men,Killa's Nightclub,,14.0,1.0,,
81,1,Handgun,Killa's Men,Killa's Nightclub,,2.0,1.0,,
81,1,Handgun,Killa's Men,Killa's Nightclub,,1.0,1.0,,
81,1,Handgun,Killa's Men,Killa's Nightclub,,3.0,1.0,,
82,1,Handgun,Killa's Men,Killa's Nightclub,,1.0,1.0,,
82,1,Handgun,Killa's Men,Killa's Nightclub,,1.0,1.0,,
83,1,Handgun,Killa's Men,Killa's Nightclub,,1.0,1.0,,
84,0,,,,,,,,
85,1,,Killa's Men,Killa's Nightclub,,,1.0,,
85,1,Axe,Killa's Men,Killa's Nightclub,,,,,
85,1,Axe,Killa's Men,Killa's Nightclub,,,1.0,,
86,0,,,,,,,,
87,1,Axe,Killa's Men,Killa's Nightclub,,,,,
87,1,Axe,Killa's Men,Killa's Nightclub,,,,,
88,1,Stairs,Killa,Killa's Nightclub,,,,,
89,0,,,,,,,,
90,0,,,,,,,,
91,0,,,,,,,,
92,0,,,,,,,,
93,0,,,,,,,,
94,0,,,,,,,,
95,0,,,,,,,,
96,0,,,,,,,,
97,0,,,,,,,,
98,0,,,,,,,,
99,0,,,,,,,,
100,0,,,,,,,,
101,0,,,,,,,,
102,0,,,,,,,,
103,0,,,,,,,,
104,0,,,,,,,,
105,0,,,,,,,,
106,0,,,,,,,,
107,0,,,,,,,,
108,0,,,,,,,,
109,0,,,,,,,,
110,0,,,,,,,,
111,0,,,,,,,,
112,0,,,,,,,,
113,0,,,,,,,,
114,0,,,,,,,,
115,0,,,,,,,,
116,1,Handgun,Assassin,Paris Streets,,1.0,1.0,,
116,1,Handgun,Assassin,Paris Streets,,3.0,,,
116,1,Handgun,Assassin,Paris Streets,,2.0,1.0,,
117,1,Car/Traffic,Assassin,Paris Streets,,,,,
117,1,Handgun,Assassin,Paris Streets,,3.0,,,
117,1,Handgun,Assassin,Paris Streets,,2.0,1.0,,
117,1,Handgun,Assassin,Paris Streets,,2.0,,,
117,1,Car/Traffic,Assassin,Paris Streets,,,,,
118,1,Handgun,Assassin,Place de l'Etoile,,12.0,1.0,,
119,1,Handgun,Assassin,Place de l'Etoile,,5.0,1.0,,
119,1,Handgun,Assassin,Place de l'Etoile,,1.0,1.0,,
119,1,Handgun,Myrmidons,Place de l'Etoile,,,,,
119,1,Handgun,Myrmidons,Place de l'Etoile,Hit By Traffic,,1.0,,
119,1,Handgun,Myrmidons,Place de l'Etoile,,,,,
119,1,Handgun,Myrmidons,Place de l'Etoile,,,1.0,,
119,1,Handgun,Myrmidons,Place de l'Etoile,,,1.0,,
119,1,Handgun,Myrmidons,Place de l'Etoile,,,,,
119,1,Handgun,Myrmidons,Place de l'Etoile,,32.0,1.0,,
120,1,Handgun,Myrmidons,Place de l'Etoile,,2.0,1.0,,
120,1,Handgun,Myrmidons,Place de l'Etoile,,2.0,1.0,,
120,1,Handgun,Myrmidons,Place de l'Etoile,,5.0,1.0,,
120,1,Handgun,Myrmidons,Place de l'Etoile,,3.0,,,
121,0,,,,,,,,
122,1,Handgun,Myrmidons,Place de l'Etoile,,16.0,1.0,,
122,1,Handgun,Myrmidons,Place de l'Etoile,,2.0,1.0,,
122,1,Handgun,Myrmidons,Place de l'Etoile,,6.0,1.0,,
122,1,Handgun,Myrmidons,Place de l'Etoile,,,1.0,,
122,1,Handgun,Myrmidons,Place de l'Etoile,,,1.0,,
122,1,Handgun,Myrmidons,Place de l'Etoile,,1.0,1.0,,
122,1,Handgun,Myrmidons,Place de l'Etoile,,,,,
122,1,Handgun,Myrmidons,Place de l'Etoile,,1.0,1.0,,
122,1,Handgun,Myrmidons,Place de l'Etoile,,11.0,,,
122,1,Car/Traffic,Myrmidons,Place de l'Etoile,,,,,
123,1,Handgun,Myrmidons,Place de l'Etoile,,4.0,1.0,,
123,1,Car/Traffic,Myrmidons,Place de l'Etoile,,1.0,,,
123,1,Car/Traffic,Myrmidons,Place de l'Etoile,,3.0,,,
124,1,Bike,Myrmidons,Place de l'Etoile,,,,,
124,0,,,,,5.0,,,
125,1,Handgun,Myrmidons,Abondoned Building,,4.0,1.0,,
126,1,Handgun,Myrmidons,Abondoned Building,,5.0,1.0,,
126,1,Handgun,Myrmidons,Abondoned Building,,2.0,1.0,,
126,1,Handgun,Myrmidons,Abondoned Building,,3.0,,,
128,1,Handgun,Myrmidons,Abondoned Building,,4.0,1.0,,
128,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,3.0,,,
128,1,Handgun,Myrmidons,Abondoned Building,,1.0,1.0,,
128,1,Handgun,Myrmidons,Abondoned Building,,5.0,1.0,,
128,1,Handgun,Myrmidons,Abondoned Building,,1.0,1.0,,
128,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,2.0,,,
128,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,4.0,,,
128,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,,,,
128,1,Handgun,Myrmidons,Abondoned Building,,2.0,1.0,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,4.0,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,2.0,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,2.0,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,2.0,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,1.0,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,3.0,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,2.0,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,4.0,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,,,,
129,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,,,,
130,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,4.0,,,
130,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,2.0,,,
130,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,1.0,,,
130,1,Handgun,Myrmidons,Abondoned Building,,2.0,,,
130,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,2.0,,,
130,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,3.0,,,
130,1,Dracarys Shotgun,Myrmidons,Abondoned Building,,,,,
131,0,,,,Jumped off Building,15.0,,,
132,0,,,,,3.0,,,
133,0,,,,,3.0,,,
134,1,Stairs,Myrmidons,Sacré Coeur Stairs,,,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,2.0,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,4.0,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,2.0,1.0,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,,1.0,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,3.0,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,2.0,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,2.0,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,1.0,1.0,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,2.0,1.0,,
134,1,Stairs,Myrmidons,Sacré Coeur Stairs,,3.0,,,
134,1,Stairs,Myrmidons,Sacré Coeur Stairs,,8.0,,,
134,1,Handgun,Myrmidons,Sacré Coeur Stairs,,2.0,1.0,,
134,1,Stairs,Myrmidons,Sacré Coeur Stairs,,,,,
135,1,Handgun,Myrmidons,Sacré Coeur Stairs,,2.0,,,
135,1,Handgun,Myrmidons,Sacré Coeur Stairs,,5.0,1.0,,
135,1,Stairs,Myrmidons,Sacré Coeur Stairs,,1.0,,,
135,1,Handgun,Myrmidons,Sacré Coeur Stairs,,2.0,,,
135,1,Handgun,Myrmidons,Sacré Coeur Stairs,,3.0,1.0,,
135,1,Handgun,Myrmidons,Sacré Coeur Stairs,,,,,
135,1,Handgun,Myrmidons,Sacré Coeur Stairs,,2.0,2.0,,
135,1,Handgun,Myrmidons,Sacré Coeur Stairs,,9.0,1.0,,
136,1,Handgun,Myrmidons,Sacré Coeur Stairs,,3.0,,,
136,1,Handgun+Knife,Myrmidons,Sacré Coeur Stairs,Kicked off Stairs,5.0,1.0,,
136,1,Handgun,Myrmidons,Sacré Coeur Stairs,,3.0,1.0,,
136,1,Stairs,Myrmidons,Sacré Coeur Stairs,,2.0,,,
136,1,Stairs,Myrmidons,Sacré Coeur Stairs,,,,,
139,1,Stairs,Myrmidons,Sacré Coeur Stairs,,2.0,,,
139,1,Stairs,Myrmidons,Sacré Coeur Stairs,,1.0,,,
139,1,Stairs,Myrmidons,Sacré Coeur Stairs,,,,,
139,1,Stairs,Myrmidons,Sacré Coeur Stairs,,6.0,,,
139,1,Handgun,Myrmidons,Sacré Coeur Stairs,,,1.0,,
140,1,Pistol Slide,Myrmidons,Sacré Coeur Stairs,,,,,
140,1,Stairs,Myrmidons,Sacré Coeur Stairs,,,,,
141,0,,,,Shot At,,,,
142,0,,,,,,,,
143,0,,,,,,,,
144,0,,,,,,,,
145,0,,,,,,,,
146,0,,,,,4.0,,,
147,0,,,,,,,,
148,0,,,,,,,,
149,0,,,,,,,,
150,0,,,,,,,,
151,0,,,,,,,,
152,1,Handgun,The Marquis de Gramont,Sacré Coeur,,1.0,1.0,,
153,0,,,,,,,,
154,0,,,,,,,,
155,0,,,,,,,,
156,0,,,,,,,,
157,0,,,,,,,,
158,0,,,,,,,,
159,0,,,,,,,,
160,0,,,,,,,,
161,0,,,,,,,,
162,0,,,,,,,,
163,0,,,,,,,,
164,0,,,,,,,,
165,0,,,,,,,,
166,0,,,,,,,,
167,0,,,,,,,,
168,0,,,,,,,,
