name,gender,status,affiliation,faction,role,weapon,emotion,mission_count,location,rank,loyalty
Mayhew,Male,Deceased,Casablanca,Casablanca,Assassin,Pistol,cold,2,High Table,2,10
Young Charon O'Connor,Male,Excommunicated,The Desert,The Desert,Cleaner,Shotgun,vengeful,4,Continental Osaka,4,5
Santino D'Antonio,Male,Deceased,Continental Osaka,Continental Osaka,Scout,Knife,cold,2,Berlin,7,7
Miles Burton,Male,Alive,Berlin,Berlin,Information Broker,Pistol,furious,4,Continental Osaka,10,7
Cassian,Male,Excommunicated,The Desert,The Desert,Assassin,Katana,cold,0,Continental Osaka,10,8
Young Charon O'Connor,Male,Deceased,The Desert,The Desert,Cleaner,Bare Hands,cold,0,Bowery Network,7,5
The Cook,Male,Deceased,Berlin,Berlin,Manager,Katana,calm,5,High Table Vault,3,2
Gianna D'Antonio,Female,Excommunicated,Casablanca,Casablanca,Scout,Rifle,calm,2,High Table,9,9
Sebastian,Male,Excommunicated,Continental Osaka,Continental Osaka,Cleaner,Bare Hands,strategic,5,Yakuza Syndicate,7,2
Cormac O'Connor,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Doctor,Explosives,cold,2,Bowery Network,10,2
Katya Jovonovich,Female,Excommunicated,Continental Osaka,Continental Osaka,Cleaner,Shotgun,vengeful,3,Continental NYC,10,6
Victor,Male,Alive,The Desert,The Desert,Assassin,Poison,vengeful,0,Yakuza Syndicate,5,5
The Adjudicator,Female,Deceased,Ruska Roma,Ruska Roma,Cleaner,Shotgun,furious,5,Yakuza Syndicate,4,1
Charlie,Male,Excommunicated,High Table,High Table,Manager,Shotgun,calm,3,High Table,3,1
"Kate ""KD"" Di Silva",Female,Alive,Yakuza Syndicate,Yakuza Syndicate,Assassin,Pistol,nervous,2,Yakuza Syndicate,6,4
Uncle Charlie,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Cleaner,Knife,grieving,0,High Table,1,7
Marquis Vincent Bisset de Gramont,Male,Excommunicated,Berlin,Berlin,Doctor,Katana,nervous,1,The Desert,1,7
Ivana,Female,Deceased,Bowery Network,Bowery Network,Sniper,Explosives,focused,4,The Desert,4,5
Sasha,Female,Deceased,Continental NYC,Continental NYC,Information Broker,Knife,furious,0,Yakuza Syndicate,3,2
Thomas Sadzik,Male,Excommunicated,The Desert,The Desert,Information Broker,Rifle,nervous,3,High Table,8,7
Winston Scott,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Manager,Shotgun,cold,0,Casablanca,10,2
Mr. Nobody,Male,Deceased,Berlin,Berlin,Courier,Poison,grieving,5,Berlin,3,7
Mayhew,Male,Alive,Casablanca,Casablanca,Manager,Rifle,focused,4,Continental Osaka,2,8
Anton,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Assassin,Explosives,nervous,3,Casablanca,6,6
Dimitri,Male,Alive,The Desert,The Desert,Sniper,Pistol,grieving,5,High Table,9,2
Marcus,Male,Alive,Berlin,Berlin,Sniper,Shotgun,cold,0,Bowery Network,4,6
Cormac O'Connor,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Scout,Pistol,strategic,4,High Table Vault,7,7
Eli,Male,Alive,The Desert,The Desert,Courier,Shotgun,strategic,0,Berlin,1,2
Mr. Nobody,Male,Deceased,Berlin,Berlin,Cleaner,Explosives,cold,5,Bowery Network,5,3
Ella Pine,Female,Excommunicated,Casablanca,Casablanca,Courier,Poison,calm,0,Berlin,3,7
Ernest,Male,Excommunicated,The Desert,The Desert,Doctor,Pistol,calm,4,Berlin,4,8
The Doctor,Male,Deceased,Berlin,Berlin,Doctor,Knife,grieving,1,Continental NYC,1,7
Mayhew,Male,Alive,Casablanca,Casablanca,Courier,Bare Hands,nervous,1,Yakuza Syndicate,3,10
Anton,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Courier,Explosives,furious,2,High Table,1,8
Ivana,Female,Deceased,Bowery Network,Bowery Network,Courier,Shotgun,furious,2,The Desert,8,10
Daniel Pine,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Manager,Katana,strategic,1,Tarkov Brotherhood,5,1
Charon O'Connor,Male,Deceased,High Table Vault,High Table Vault,Scout,Knife,grieving,0,Yakuza Syndicate,3,10
Marquis Vincent Bisset de Gramont,Male,Alive,Berlin,Berlin,Doctor,Knife,strategic,4,Continental NYC,7,3
"Kate ""KD"" Di Silva",Female,Alive,Yakuza Syndicate,Yakuza Syndicate,Courier,Poison,cold,2,Tarkov Brotherhood,3,10
Rufus,Male,Excommunicated,Bowery Network,Bowery Network,Sniper,Knife,vengeful,1,Berlin,9,4
Yuri,Male,Excommunicated,Ruska Roma,Ruska Roma,Courier,Rifle,vengeful,2,Continental NYC,4,10
Sasha,Female,Alive,Continental NYC,Continental NYC,Cleaner,Poison,nervous,0,Tarkov Brotherhood,3,9
Marcus,Male,Deceased,Berlin,Berlin,Manager,Explosives,focused,1,The Desert,5,2
Berrada,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Assassin,Bare Hands,vengeful,5,Ruska Roma,4,4
Lena Macarro,Female,Deceased,Bowery Network,Bowery Network,Courier,Pistol,vengeful,3,Bowery Network,8,3
Karl,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Sniper,Explosives,cold,3,High Table,10,4
Akira Shimazu,Female,Excommunicated,High Table Vault,High Table Vault,Courier,Poison,calm,4,The Desert,7,8
Mykel,Male,Deceased,High Table Vault,High Table Vault,Information Broker,Pistol,vengeful,2,Continental NYC,8,3
Ernest,Male,Excommunicated,The Desert,The Desert,Cleaner,Katana,vengeful,0,High Table,7,9
Ella Pine,Female,Alive,Casablanca,Casablanca,Courier,Pistol,focused,5,Ruska Roma,3,8
Semyon,Male,Deceased,The Desert,The Desert,Doctor,Explosives,nervous,5,Ruska Roma,2,2
The Harbinger,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Information Broker,Pistol,nervous,3,Tarkov Brotherhood,9,9
Dimitri,Male,Excommunicated,The Desert,The Desert,Sniper,Bare Hands,focused,0,Tarkov Brotherhood,9,7
Thomas Sadzik,Male,Deceased,The Desert,The Desert,Courier,Explosives,strategic,5,Continental NYC,10,2
The Harbinger,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Assassin,Pistol,cold,5,Continental NYC,7,7
Miles Burton,Male,Excommunicated,Berlin,Berlin,Assassin,Explosives,furious,5,The Desert,1,8
Lena Macarro,Female,Deceased,Bowery Network,Bowery Network,Assassin,Shotgun,strategic,1,High Table,10,6
Rasha,Male,Excommunicated,High Table Vault,High Table Vault,Cleaner,Rifle,vengeful,0,Berlin,4,6
Orson,Male,Alive,High Table Vault,High Table Vault,Assassin,Rifle,cold,0,Continental Osaka,9,5
Petrov,Male,Alive,Berlin,Berlin,Courier,Poison,calm,1,Ruska Roma,7,3
Boris,Male,Alive,High Table,High Table,Assassin,Bare Hands,cold,3,Continental Osaka,1,4
Otto,Male,Excommunicated,Ruska Roma,Ruska Roma,Courier,Bare Hands,strategic,0,Tarkov Brotherhood,3,5
Yen,Female,Deceased,Continental NYC,Continental NYC,Cleaner,Explosives,nervous,4,Tarkov Brotherhood,7,8
Berrada,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Sniper,Knife,nervous,4,Casablanca,6,1
Viggo Tarasov,Male,Deceased,Ruska Roma,Ruska Roma,Courier,Rifle,strategic,3,High Table Vault,7,4
The Cook,Male,Alive,Berlin,Berlin,Manager,Poison,grieving,5,Berlin,1,2
Karl,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Assassin,Poison,cold,1,Yakuza Syndicate,1,1
Cassian,Male,Excommunicated,The Desert,The Desert,Courier,Pistol,cold,4,Yakuza Syndicate,10,1
Thomas Sadzik,Male,Alive,The Desert,The Desert,Courier,Explosives,grieving,2,Berlin,4,5
Killa Harkan,Male,Excommunicated,High Table,High Table,Doctor,Shotgun,strategic,3,The Desert,9,8
Ms. Perkins,Female,Deceased,Yakuza Syndicate,Yakuza Syndicate,Scout,Bare Hands,focused,5,Tarkov Brotherhood,6,7
Thomas Sadzik,Male,Excommunicated,The Desert,The Desert,Scout,Shotgun,focused,2,The Desert,6,3
Yuri,Male,Alive,Ruska Roma,Ruska Roma,Doctor,Katana,grieving,0,The Desert,10,4
Young Winston Scott,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Information Broker,Katana,focused,0,High Table Vault,9,6
The Tailor,Male,Excommunicated,Ruska Roma,Ruska Roma,Information Broker,Rifle,grieving,3,Continental NYC,10,9
Felix,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Sniper,Poison,grieving,1,Ruska Roma,2,10
Eli,Male,Alive,The Desert,The Desert,Courier,Poison,focused,0,Yakuza Syndicate,5,5
The Sommelier,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Assassin,Explosives,furious,0,Tarkov Brotherhood,6,6
The Elder,Male,Excommunicated,Continental Osaka,Continental Osaka,Sniper,Rifle,grieving,4,Bowery Network,6,9
Abraham,Male,Deceased,Yakuza Syndicate,Yakuza Syndicate,Assassin,Rifle,cold,3,Casablanca,5,9
Miles Burton,Male,Excommunicated,Berlin,Berlin,Cleaner,Bare Hands,grieving,4,High Table,3,7
O'Connor,Male,Deceased,Continental Osaka,Continental Osaka,Courier,Knife,furious,3,The Desert,5,9
Katya Jovonovich,Female,Alive,Continental Osaka,Continental Osaka,Cleaner,Katana,strategic,3,Ruska Roma,4,6
Zarina,Female,Excommunicated,The Desert,The Desert,Courier,Bare Hands,focused,1,Continental NYC,2,4
Ivana,Female,Alive,Bowery Network,Bowery Network,Sniper,Katana,cold,2,High Table,4,7
The Doctor,Male,Excommunicated,Berlin,Berlin,Manager,Explosives,cold,5,The Desert,9,9
Killa Harkan,Male,Deceased,High Table,High Table,Courier,Pistol,cold,0,The Desert,3,7
Sofia Al-Azwar,Female,Alive,High Table Vault,High Table Vault,Scout,Pistol,cold,3,Yakuza Syndicate,1,7
O'Connor,Male,Excommunicated,Continental Osaka,Continental Osaka,Cleaner,Bare Hands,cold,0,High Table Vault,10,9
Drago,Male,Deceased,Continental Osaka,Continental Osaka,Courier,Rifle,furious,3,Ruska Roma,1,6
Thomas Sadzik,Male,Excommunicated,The Desert,The Desert,Scout,Bare Hands,calm,4,Berlin,8,6
The Director,Female,Alive,Berlin,Berlin,Manager,Katana,furious,1,The Desert,5,1
Boris,Male,Alive,High Table,High Table,Information Broker,Poison,strategic,5,High Table,8,8
Winston Scott,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Courier,Shotgun,vengeful,5,The Desert,2,3
Victor,Male,Excommunicated,The Desert,The Desert,Scout,Katana,nervous,3,High Table Vault,10,6
Lou Burton,Male,Alive,Bowery Network,Bowery Network,Information Broker,Explosives,nervous,2,Berlin,9,6
Frankie Scott,Male,Excommunicated,High Table,High Table,Assassin,Poison,nervous,2,The Desert,4,7
Rasha,Male,Excommunicated,High Table Vault,High Table Vault,Doctor,Katana,grieving,0,Continental Osaka,7,8
Ekaterina,Female,Alive,Ruska Roma,Ruska Roma,Scout,Pistol,cold,3,High Table Vault,1,4
Winston Scott,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Cleaner,Pistol,grieving,5,Casablanca,8,7
Frankie Scott,Male,Alive,High Table,High Table,Cleaner,Katana,focused,2,High Table,6,9
Ares,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Assassin,Pistol,nervous,2,Bowery Network,4,8
Charon O'Connor,Male,Excommunicated,High Table Vault,High Table Vault,Doctor,Pistol,calm,3,The Desert,4,8
Berrada,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Courier,Rifle,strategic,5,Continental Osaka,6,8
Mikhail Jovonovich,Male,Alive,High Table Vault,High Table Vault,Manager,Bare Hands,calm,2,High Table,7,4
Petrov,Male,Deceased,Berlin,Berlin,Manager,Poison,cold,3,Ruska Roma,1,6
Berrada,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Scout,Explosives,calm,0,High Table,3,3
Killa Harkan,Male,Deceased,High Table,High Table,Manager,Poison,strategic,0,Continental Osaka,1,7
Ivana,Female,Alive,Bowery Network,Bowery Network,Information Broker,Katana,calm,2,Continental NYC,7,9
Tatarkov,Male,Alive,Bowery Network,Bowery Network,Manager,Bare Hands,strategic,1,Berlin,6,1
Rasha,Male,Deceased,High Table Vault,High Table Vault,Scout,Poison,vengeful,4,The Desert,1,10
Ares,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Sniper,Katana,calm,3,Ruska Roma,7,7
Francis,Male,Deceased,High Table Vault,High Table Vault,Scout,Knife,focused,1,Casablanca,2,3
Otto,Male,Excommunicated,Ruska Roma,Ruska Roma,Courier,Pistol,focused,2,Continental NYC,4,3
Viggo Tarasov,Male,Alive,Ruska Roma,Ruska Roma,Assassin,Bare Hands,vengeful,5,Ruska Roma,8,3
Santino D'Antonio,Male,Deceased,Continental Osaka,Continental Osaka,Cleaner,Knife,focused,2,High Table Vault,2,10
Luca,Male,Deceased,High Table Vault,High Table Vault,Cleaner,Explosives,cold,1,High Table Vault,4,3
Berrada,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Cleaner,Pistol,nervous,2,Bowery Network,5,4
Cassian,Male,Alive,The Desert,The Desert,Courier,Poison,strategic,2,Berlin,4,10
Charon O'Connor,Male,Alive,High Table Vault,High Table Vault,Sniper,Katana,strategic,3,Tarkov Brotherhood,6,8
Frank,Male,Deceased,Continental Osaka,Continental Osaka,Information Broker,Rifle,furious,3,Continental NYC,5,9
Semyon,Male,Deceased,The Desert,The Desert,Cleaner,Rifle,nervous,2,The Desert,5,5
Rufus,Male,Alive,Bowery Network,Bowery Network,Courier,Rifle,strategic,0,High Table Vault,7,9
Tatarkov,Male,Excommunicated,Bowery Network,Bowery Network,Sniper,Knife,calm,2,Ruska Roma,3,6
The Sculptor,Male,Excommunicated,Casablanca,Casablanca,Doctor,Poison,cold,2,The Desert,9,6
Yen,Female,Deceased,Continental NYC,Continental NYC,Doctor,Poison,strategic,4,Bowery Network,5,4
O'Connor,Male,Excommunicated,Continental Osaka,Continental Osaka,Assassin,Katana,nervous,3,Bowery Network,4,8
Daniel Pine,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Assassin,Pistol,strategic,0,Tarkov Brotherhood,9,6
Tatiana,Female,Deceased,Berlin,Berlin,Cleaner,Katana,cold,3,Casablanca,8,10
Ekaterina,Female,Excommunicated,Ruska Roma,Ruska Roma,Information Broker,Katana,furious,3,Continental Osaka,1,6
The Chancellor,Male,Excommunicated,Casablanca,Casablanca,Information Broker,Pistol,cold,4,Casablanca,8,4
Calamity,Female,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Cleaner,Explosives,calm,0,Yakuza Syndicate,6,6
Iosef Tarasov,Male,Deceased,Berlin,Berlin,Scout,Bare Hands,focused,1,Ruska Roma,2,2
Tarak,Male,Deceased,High Table Vault,High Table Vault,Information Broker,Pistol,grieving,5,Ruska Roma,7,4
The Sculptor,Male,Excommunicated,Casablanca,Casablanca,Cleaner,Explosives,nervous,3,Berlin,9,8
The Russian,Male,Alive,Continental Osaka,Continental Osaka,Doctor,Shotgun,nervous,5,Bowery Network,8,2
Ella Pine,Female,Deceased,Casablanca,Casablanca,Scout,Katana,vengeful,0,Bowery Network,5,4
Viggo Tarasov,Male,Excommunicated,Ruska Roma,Ruska Roma,Doctor,Shotgun,grieving,0,Continental Osaka,9,8
Santino D'Antonio,Male,Excommunicated,Continental Osaka,Continental Osaka,Sniper,Shotgun,cold,3,Yakuza Syndicate,2,7
Cassian,Male,Alive,The Desert,The Desert,Assassin,Knife,vengeful,0,Bowery Network,3,10
Cormac O'Connor,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Information Broker,Pistol,cold,1,Yakuza Syndicate,8,7
The Director,Female,Alive,Berlin,Berlin,Sniper,Shotgun,nervous,1,High Table Vault,1,7
Rufus,Male,Alive,Bowery Network,Bowery Network,Assassin,Katana,vengeful,0,The Desert,9,10
Ekaterina,Female,Alive,Ruska Roma,Ruska Roma,Scout,Bare Hands,vengeful,1,High Table,5,3
The Chancellor,Male,Excommunicated,Casablanca,Casablanca,Cleaner,Katana,vengeful,4,High Table,8,9
Daniel Pine,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Scout,Explosives,nervous,0,Continental NYC,1,6
The Priest,Male,Deceased,Bowery Network,Bowery Network,Courier,Knife,strategic,4,Casablanca,7,7
Yen,Female,Alive,Continental NYC,Continental NYC,Cleaner,Poison,cold,4,High Table,1,7
Frankie Scott,Male,Deceased,High Table,High Table,Assassin,Shotgun,grieving,1,Continental Osaka,9,1
Felix,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Scout,Katana,grieving,5,Continental NYC,4,1
Nogi,Male,Deceased,The Desert,The Desert,Assassin,Pistol,grieving,2,Yakuza Syndicate,4,1
Drago,Male,Deceased,Continental Osaka,Continental Osaka,Cleaner,Katana,strategic,3,Yakuza Syndicate,3,8
Miles Burton,Male,Deceased,Berlin,Berlin,Cleaner,Shotgun,strategic,3,Continental NYC,2,2
Daisy,Female,Excommunicated,Continental Osaka,Continental Osaka,Manager,Bare Hands,strategic,4,Berlin,2,3
Mr. Nobody,Male,Deceased,Berlin,Berlin,Assassin,Bare Hands,vengeful,2,Continental Osaka,4,5
Tarak,Male,Deceased,High Table Vault,High Table Vault,Cleaner,Poison,focused,3,Bowery Network,6,4
Marcus,Male,Alive,Berlin,Berlin,Information Broker,Pistol,cold,2,Continental NYC,5,1
Thomas Sadzik,Male,Deceased,The Desert,The Desert,Sniper,Rifle,calm,4,Continental NYC,2,2
Prudence,Male,Deceased,Casablanca,Casablanca,Assassin,Knife,furious,1,Casablanca,1,4
Young Winston Scott,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Sniper,Poison,focused,2,Continental Osaka,8,3
Ekaterina,Female,Deceased,Ruska Roma,Ruska Roma,Sniper,Pistol,nervous,3,The Desert,3,8
Ella Pine,Female,Deceased,Casablanca,Casablanca,Sniper,Rifle,grieving,0,High Table,10,8
Silas,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Scout,Katana,focused,1,Continental NYC,6,6
The Sommelier,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Assassin,Rifle,vengeful,4,Berlin,3,7
Mr. Nobody,Male,Excommunicated,Berlin,Berlin,Scout,Shotgun,focused,3,Continental NYC,9,7
Semyon,Male,Excommunicated,The Desert,The Desert,Sniper,Knife,focused,2,Berlin,8,4
Karl,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Doctor,Shotgun,cold,0,Continental Osaka,10,9
The Adjudicator,Female,Alive,Ruska Roma,Ruska Roma,Information Broker,Pistol,strategic,1,High Table,7,7
Frank,Male,Excommunicated,Continental Osaka,Continental Osaka,Information Broker,Pistol,vengeful,0,High Table Vault,4,2
Marquis Vincent Bisset de Gramont,Male,Deceased,Berlin,Berlin,Doctor,Shotgun,cold,4,Casablanca,1,9
Tatarkov,Male,Alive,Bowery Network,Bowery Network,Cleaner,Explosives,nervous,3,Casablanca,2,1
Eve Macarro,Female,Excommunicated,Berlin,Berlin,Scout,Explosives,calm,4,High Table,3,10
Young Charon O'Connor,Male,Deceased,The Desert,The Desert,Assassin,Katana,vengeful,4,High Table,2,4
Santino D'Antonio,Male,Deceased,Continental Osaka,Continental Osaka,Courier,Poison,focused,5,Berlin,5,1
Ella Pine,Female,Deceased,Casablanca,Casablanca,Cleaner,Knife,furious,1,Bowery Network,10,6
Aurelio,Male,Alive,Continental NYC,Continental NYC,Sniper,Katana,grieving,0,High Table,2,6
Ms. Perkins,Female,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Courier,Rifle,focused,4,High Table,7,10
Nogi,Male,Alive,The Desert,The Desert,Sniper,Knife,nervous,1,High Table,5,6
Gianna D'Antonio,Female,Deceased,Casablanca,Casablanca,Assassin,Pistol,grieving,0,High Table,3,7
Tatarkov,Male,Excommunicated,Bowery Network,Bowery Network,Doctor,Explosives,furious,0,High Table,5,9
The Russian,Male,Alive,Continental Osaka,Continental Osaka,Scout,Knife,grieving,2,Ruska Roma,9,5
The Harbinger,Male,Deceased,Yakuza Syndicate,Yakuza Syndicate,Sniper,Poison,focused,4,High Table Vault,5,2
Cormac O'Connor,Male,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Doctor,Bare Hands,grieving,1,The Desert,2,10
Sasha,Female,Excommunicated,Continental NYC,Continental NYC,Cleaner,Bare Hands,strategic,4,Continental NYC,10,8
Prudence,Male,Alive,Casablanca,Casablanca,Doctor,Explosives,focused,0,Ruska Roma,10,10
Eve Macarro,Female,Alive,Berlin,Berlin,Doctor,Shotgun,strategic,1,High Table,3,6
Young Winston Scott,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Cleaner,Explosives,vengeful,4,Ruska Roma,9,7
The Tailor,Male,Deceased,Ruska Roma,Ruska Roma,Assassin,Pistol,grieving,4,Yakuza Syndicate,3,3
"Kate ""KD"" Di Silva",Female,Alive,Yakuza Syndicate,Yakuza Syndicate,Scout,Rifle,furious,2,Berlin,10,3
Caine,Male,Alive,Berlin,Berlin,Manager,Poison,grieving,1,Yakuza Syndicate,5,3
Calamity,Female,Deceased,Tarkov Brotherhood,Tarkov Brotherhood,Manager,Explosives,vengeful,3,Bowery Network,3,9
Semyon,Male,Deceased,The Desert,The Desert,Cleaner,Shotgun,vengeful,3,Continental NYC,2,7
Otto,Male,Excommunicated,Ruska Roma,Ruska Roma,Information Broker,Bare Hands,strategic,0,Continental NYC,7,1
Ares,Male,Alive,Tarkov Brotherhood,Tarkov Brotherhood,Cleaner,Shotgun,vengeful,5,High Table,1,7
